periodo_orbital,duracion_transito,profundidad,pl_radio,insolacion,st_radio,st_temperatura,st_gravedad,pl_temperatura_eq,RA,DEC,mission,object_id,label
9.48803557,2.9575,615.8,2.26,93.59,0.927,5455.0,4.467,793.0,291.93423,48.141651,Kepler,K00752.01,CONFIRMED
54.4183827,4.507,874.8,2.83,9.11,0.927,5455.0,4.467,443.0,291.93423,48.141651,Kepler,K00752.02,CONFIRMED
19.89913995,1.7822,10829.0,14.6,39.3,0.868,5853.0,4.544,638.0,297.00482,48.134129,Kepler,K00753.01,CANDIDATE
1.736952453,2.40641,8079.2,33.46,891.96,0.791,5805.0,4.564,1395.0,285.53461,48.28521,Kepler,K00754.01,FALSE POSITIVE
2.525591777,1.6545,603.3,2.75,926.16,1.046,6031.0,4.438,1406.0,288.75488,48.2262,Kepler,K00755.01,CONFIRMED
11.09432054,4.5945,1517.5,3.9,114.81,0.972,6046.0,4.486,835.0,296.28613,48.22467,Kepler,K00756.01,CONFIRMED
4.13443512,3.1402,686.0,2.77,427.65,0.972,6046.0,4.486,1160.0,296.28613,48.22467,Kepler,K00756.02,CONFIRMED
2.56658897,2.429,226.5,1.59,807.74,0.972,6046.0,4.486,1360.0,296.28613,48.22467,Kepler,K00756.03,CONFIRMED
7.36178958,5.022,233.7,39.21,767.22,1.958,6227.0,3.986,1342.0,298.86435,42.151569,Kepler,K00114.01,FALSE POSITIVE
16.06864674,3.5347,4914.3,5.76,30.75,0.848,5031.0,4.485,600.0,286.99948,48.37579,Kepler,K00757.01,CONFIRMED
2.470613377,1.74319,14231.0,13.04,761.46,0.964,5820.0,4.457,1339.0,286.80847,49.316399,Kepler,K00001.01,CONFIRMED
2.204735417,3.88864,6674.7,16.1,4148.92,1.952,6440.0,4.019,2048.0,292.24728,47.969521,Kepler,K00002.01,CONFIRMED
3.522498429,3.19843,9145.7,14.59,1264.67,1.451,6225.0,4.169,1521.0,281.28812,42.45108,Kepler,K00010.01,CONFIRMED
3.709214104,2.6302,131.1,1.16,500.46,1.022,5833.0,4.407,1206.0,295.64871,48.49556,Kepler,K00112.02,CONFIRMED
11.521446064,3.6399,17984.0,150.51,75.88,0.848,5795.0,4.554,753.0,297.07993,47.597401,Kepler,K00742.01,FALSE POSITIVE
19.40393776,12.2155,8918.7,7.18,17.69,0.68,5043.0,4.591,523.0,289.25821,47.635319,Kepler,K00743.01,FALSE POSITIVE
19.221388942,4.79843,74284.0,49.29,55.97,0.947,6117.0,4.496,698.0,295.81454,47.69035,Kepler,K00744.01,FALSE POSITIVE
16.46983774,9.4378,10479.0,7.94,29.61,0.786,5152.0,4.517,595.0,297.15442,47.668701,Kepler,K00745.01,FALSE POSITIVE
9.27358173,3.2875,1288.3,2.47,41.85,0.696,4856.0,4.583,649.0,288.13824,47.724449,Kepler,K00746.01,CONFIRMED
6.02930329,1.5821,1912.7,2.85,50.04,0.672,4537.0,4.648,678.0,283.71088,47.86327,Kepler,K00747.01,CONFIRMED
2.696370652,3.6129,397.9,1.58,305.34,0.819,4989.0,4.504,1066.0,283.76547,47.804298,Kepler,K00748.01,FALSE POSITIVE
5.349553819,3.0278,831.0,2.55,168.99,0.91,5185.0,4.44,919.0,292.37613,47.880989,Kepler,K00749.01,CONFIRMED
3.94105221,2.5984,363.3,1.7,253.15,0.91,5185.0,4.44,1018.0,292.37613,47.880989,Kepler,K00749.02,CONFIRMED
8.10904807,3.596,217.4,1.3,97.03,0.91,5185.0,4.44,800.0,292.37613,47.880989,Kepler,K00749.03,CONFIRMED
386.6030528,6.8057,24927.0,41.5,1.84,1.58,5543.0,4.081,297.0,292.27374,37.671558,Kepler,K00113.01,FALSE POSITIVE
21.67699193,3.4555,857.2,2.95,18.64,0.828,4954.0,4.5,530.0,290.46512,47.92918,Kepler,K00750.01,CONFIRMED
4.99677968,2.1717,934.7,2.78,166.95,0.847,5339.0,4.552,917.0,297.80826,47.946671,Kepler,K00751.01,CONFIRMED
4.280963604,2.875,750.8,2.3,247.87,0.831,5644.0,4.564,1012.0,294.26581,49.314091,Kepler,K00769.01,CONFIRMED
1.50635409,1.5155,2211.7,4.53,1054.12,0.831,5714.0,4.563,1452.0,295.66522,49.351009,Kepler,K00770.01,FALSE POSITIVE
670.645531,53.412,18091.0,14.14,0.35,0.983,5520.0,4.466,196.0,296.69861,49.316479,Kepler,K00771.01,FALSE POSITIVE
61.2563628,7.633,5123.3,39.87,15.43,1.091,6144.0,4.402,505.0,283.72592,49.479519,Kepler,K00772.01,FALSE POSITIVE
38.3775486,5.588,724.2,2.82,18.53,1.036,5481.0,4.369,529.0,291.72202,49.480869,Kepler,K00773.01,CONFIRMED
